,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
14,B1_15/15_8,82 -- 97,RC,PF-TR,7,1206.2,6031.0,PF15167,,
15,,,,,,,,,,
16,,,,,TOTAL,7987.3,39936.5,,,
0,D1_15/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_15/15_2,18 -- 33,RC,RG,25~30,1060.9,5304.5,RG22038,,
3,,,,,,,,,,
4,D1_15/15_3,33 -- 46,RC,RG,14~16,1007.1,5035.5,RG22032,,
5,,,,,,,,,,
6,D1_15/15_4,46 -- 56,RC,RG,MX,700.1,3500.5,RG10941,,
7,,,,,,,,Ni - 46,,
8,D1_15/15_5,56 -- 69,RC,RG,18~20,886.4,4432.0,RG22036,,
9,,,,,,,,,,
10,D1_15/15_6,69 -- 81,RC,RG,18~20,876.7,4383.5,RG22035,,
11,,,,,,,,,,
12,,,,,TOTAL,4531.2,22656.0,,,
0,B1_17/15_1,0 -- 14,MC-GD,RD,2.5,1139.6,5698.0,CUT12898,,
1,,,,,,,,,,
2,B1_17/15_2,14 -- 20,SC,MX,FREE,508.5,2542.5,CUT30095,,
3,,,,,,,,,,
4,B1_17/15_3,20 -- 29,SC,OT,18*13,588.1,2940.5,CUT30143,,
5,,,,,,,,,,
6,B1_17/15_4,29 -- 36,SC,MX,MX,574.3,2871.5,CUT30096,,
7,,,,,,,,,,
8,B1_17/15_5,36 -- 42,SC,MX,FREE,356.6,1783.0,CUT30094,,
9,,,,,,,,Ni - 36,,
10,B1_17/15_6,42 -- 56,SC,OT,FREE,1117.6,5588.0,CUT14687,,
11,,,,,,,,,,
12,B1_17/15_7,56 -- 68,SC,OT,FREE,971.5,4857.5,CUT14687,,
13,,,,,,,,,,
14,B1_17/15_8,68 -- 79,SC,OT,MX,981.1,4905.5,CUT28020,,
15,,,,,,,,,,
16,B1_17/15_9,79 -- 92,MC-GD,RD,2,1225.0,6125.0,CUT25228,,
17,,,,,,,,,,
18,,,,,TOTAL,7462.3,37311.5,,,
0,B1_20/15_1,0 -- 16,RC,PF-MQ,10*5,1252.8,6264.0,PF15235,,
1,,,,,,,,,,
2,B1_20/15_2,16 -- 28,SC,MX,MX,1008.7,5043.5,CUT30213,,
3,,,,,,,,,,
4,B1_20/15_3,28 -- 38,SC,MX,MX,899.3,4496.5,CUT30210,,
5,,,,,,,,,,
6,B1_20/15_4,38 -- 48,BA,MX,MX,830.6,4153.0,CUT25118,,
7,,,,,,,,Ni - 38,,
8,B1_20/15_5,48 -- 57,BA,MX,MX,809.0,4045.0,CUT25119,,
9,,,,,,,,,,
10,B1_20/15_6,57 -- 68,SC,MX,MX,944.0,4720.0,CUT30211,,
11,,,,,,,,,,
12,B1_20/15_7,68 -- 80,VC,MX,MX,1065.4,5327.0,CUT25141,,
13,,,,,,,,,,
14,B1_20/15_8,80 -- 95,RC,PF-MX,18*13,1296.4,6482.0,PF15149,,
15,,,,,,,,,,
16,,,,,TOTAL,8106.2,40531.0,,,
0,B1_21/15_1,0 -- 17,RC,PF-OV,MX,1521.8,7609.0,PF12952,,
1,,,,,,,,,,
2,B1_21/15_2,17 -- 29,MC,RG-RE,12~15,845.6,4228.0,RG10722,,
3,,,,,,,,,,
4,B1_21/15_3,29 -- 40,MC,RG-RE,MX,665.4,3327.0,RG10669,,
5,,,,,,,,,,
6,B1_21/15_4,40 -- 55,RC,PF-MX-RE,MX,1346.3,6731.5,PF12078,,
7,,,,,,,,Ni - 40,,
8,B1_21/15_5,55 -- 70,MC,RG-RE,MX,1191.1,5955.5,RG10795,,
9,,,,,,,,,,
10,B1_21/15_6,70 -- 82,MC,RG-RE,12~15,812.9,4064.5,RG10725,,
11,,,,,,,,,,
12,B1_21/15_7,82 -- 95,RC,OT,>6*4,1009.4,5047.0,PF12948,,
13,,,,,,,,,,
14,,,,,TOTAL,7392.5,36962.5,,,
0,D1_21/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_21/15_2,18 -- 35,RC,RG-RE,5~9,1273.4,6367.0,RG10908,,
3,,,,,,,,,,
4,D1_21/15_3,35 -- 51,NC,RG-RE,MX,1347.5,6737.5,RG10938,,
5,,,,,,,, Ni - 35,,
6,D1_21/15_4,51 -- 66,MC,PF-MX-RE,MX,1232.3,6161.5,PF12802,,
7,,,,,,,,,,
8,D1_21/15_5,66 -- 77,MC,RG-RE,9~15,774.6,3873.0,RG10726,,
9,,,,,,,,,,
10,,,,,TOTAL,4627.8,23139.0,,,
0,B1_24/15_1,0 -- 14,RC,RG,1~2,1140.4,5702.0,RG22118,,
1,,,,,,,,B1_10/15_8,,
2,B1_24/15_2,14 -- 22,MC,RG-RE,5~7,518.6,2593.0,RG10708,,
3,,,,,,,,,,
4,B1_24/15_3,22 -- 34,MC,RG-RE,9~12,865.9,4329.5,RG11422,,
5,,,,,,,,,,
6,B1_24/15_4,34 -- 52,MC,RG-RE,MX,1465.3,7326.5,RG10827,,
7,,,,,,,,Ni - 34,,
8,B1_24/15_5,52 -- 62,MC,RG-RE,15~20,543.4,2717.0,RG10786,,
9,,,,,,,,,,
10,B1_24/15_6,62 -- 74,MC,RG-RE,15~20,942.6,4713.0,RG10791,,
11,,,,,,,,,,
12,B1_24/15_7,74 -- 88,MC,RG-RE,5~7,947.6,4738.0,RG10832,,
13,,,,,,,,,,
14,B1_24/15_8,88 -- 100,RC,RG,1~2,1140.5,5702.5,RG22117,,
15,,,,,,,,B1_10/15_1,,
16,,,,,,,,,,
17,,,,,TOTAL,7564.3,37821.5,,,
0,B1_26/15_1,0 -- 14,RC,PF-TR,7,1207.9,6039.5,PF15166,,
1,,,,,,,,B1_12/15_9,,
2,B1_26/15_2,14 -- 30,MC,PF-SQ-RE,>14,1270.1,6350.5,PF12259,,
3,,,,,,,,,,
4,B1_26/15_3,30 -- 45,MC,PF-OT-RE,MX,1033.4,5167.0,PF12315,,
5,,,,,,,,,,
6,B1_26/15_4,45 -- 58,MC,PF-TR-RE,MX,1205.9,6029.5,PF12261,,
7,,,,,,,,Ni - 45,,
8,B1_26/15_5,58 -- 73,MC,PF-OT-RE,MX,1095.3,5476.5,PF12310,,
9,,,,,,,,,,
10,B1_26/15_6,73 -- 81,SC,PF-SQ-RE,MX,656.6,3283.0,PF12325,,
11,,,,,,,,,,
12,B1_26/15_7,81 -- 96,RC,PF-MX,MX,1252.6,6263.0,PF15158,,
13,,,,,,,,B1_12/15_1,,
14,,,,,,,,,,
15,,,,,TOTAL,7721.8,38609.0,,,
0,D1_26/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_26/15_2,18 -- 35,MC,PF-OT-RE,MX,1228.5,6142.5,PF12311,,
3,,,,,,,,,,
4,D1_26/15_3,35 -- 51,MC,PF-OT-RE,MX,1167.7,5838.5,PF12312,,
5,,,,,,,,,,
6,D1_26/15_4,51 -- 63,MC,PF-PS-RE,MX,945.9,4729.5,PF12260,,
7,,,,,,,,Ni - 51,,
8,D1_26/15_5,63 -- 79,MC,PF-BAG-RE,>12*10,1211.7,6058.5,PF12313,,
9,,,,,,,,,,
10,,,,,TOTAL,4553.8,22769.0,,,
0,B1_28/15_1,0 -- 15,RC,PF-MX,MX,1320.6,6603.0,PF15144,,
1,,,,,,,,B1_13/15_9,,
2,B1_28/15_2,15 -- 26,RC,RG-RE,15~50,802.2,4011.0,RG10971,,
3,,,,,,,,,,
4,B1_28/15_3,26 -- 38,RC,RG-RE,15~50,796.4,3982.0,RG10971,,
5,,,,,,,,,,
6,B1_28/15_4,38 -- 56,UN,RG-RE,9~15,1420.4,7102.0,PF12246,,
7,,,,,,,,Ni - 38,,
8,B1_28/15_5,56 -- 73,MC,PF-OT-RE,>16*12,1370.3,6851.5,PF12265,,
9,,,,,,,,,,
10,B1_28/15_6,73 -- 80,SC,PF-OT-RE,>12*10,485.9,2429.5,PF12098,,
11,,,,,,,,,,
12,B1_28/15_7,80 -- 96,RC,PF-MX,MX,1319.3,6596.5,PF15146,,
13,,,,,,,,B1_13/15_1,,
14,,,,,,,,,,
15,,,,,TOTAL,7515.1,37575.5,,,
0,B1_32/15_1,0 -- 15,RC,PF-TR,7,1206.2,6031.0,PF15167,,
1,,,,,,,,B1_15/15_8,,
2,B1_32/15_2,15 -- 21,UN,PF-MX,MX,406.5,2032.5,C0025,,
3,,,,,,,,,,
4,B1_32/15_3,21 -- 38,BR,PF-MX,10*8,1326.9,6634.5,C0006,,
5,,,,,,,,,,
6,B1_32/15_4,38 -- 45,MC,PF-HS-RE,>10,553.1,2765.5,PF12816,,
7,,,,,,,,Ni - 38,,
8,B1_32/15_5,45 -- 52,SC,PF-RD-RE,MX,521.6,2608.0,PF12085,,
9,,,,,,,,,,
10,B1_32/15_6,52 -- 58,BR,PF-MQ,16*8,345.7,1728.5,C0006,,
11,,,,,,,,,,
12,B1_32/15_7,58 -- 66,BR,PF-OV,10*8,653.5,3267.5,C0006,,
13,,,,,,,,,,
14,B1_32/15_8,66 -- 74,BR,PF-PS,8*6,679.5,3397.5,C0006,,
15,,,,,,,,,,
16,B1_32/15_9,74 -- 79,BR,PF-OV,9*7,332.3,1661.5,C0006,,
17,,,,,,,,,,
18,B1_32/15_10,79 -- 96,RC,PF-MX,MX,1380.9,6904.5,PF15170,,
19,,,,,,,,B1_15/15_1,,
20,,,,,,,,,,
21,,,,,TOTAL,7406.2,37031.0,,,
0,D1_32/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_32/15_2,18 -- 29,MZ,PF-MX,FREE,866.7,4333.5,PF15071,,
3,,,,,,,,,,
4,D1_32/15_3,29 -- 37,MZ,PF-MX,MX,636.3,3181.5,PF15060,,
5,,,,,,,,,,
6,D1_32/15_4,37 -- 46,SC,MX,MX,602.7,3013.5,CUT30120,,
7,,,,,,,,Ni - 37,,
8,D1_32/15_5,46 -- 60,RC,PF-MX,MX,1223.5,6117.5,PF15221,,
9,,,,,,,,,,
10,D1_32/15_6,60 -- 67,MZ,PF-MX,MX,522.3,2611.5,PF15063,,
11,,,,,,,,,,
12,D1_32/15_7,67 -- 76,MZ,PF-MX,MX,589.4,2947.0,PF15069,,
13,,,,,,,,,,
14,,,,,TOTAL,4440.9,22204.5,,,
0,B1_35/15_1,0 -- 14,MC-GD,RD,2,1225.0,6125.0,CUT25228,,
1,,,,,,,,B1_17/15_9,,
2,B1_35/15_2,14 -- 21,RC,PF-OV,12*10,569.5,2847.5,PF7327,,
3,,,,,,,,,,
4,B1_35/15_3,21 -- 39,RC,PF-CU,6*4,1531.6,7658.0,PF7334,,
5,,,,,,,,,,
6,B1_35/15_4,39 -- 52,RC,PF-OV,5*3,1103.6,5518.0,PF7320,,
7,,,,,,,,Ni - 39,,
8,B1_35/15_5,52 -- 64,RC,PF-OV,6*4,1038.2,5191.0,PF7321,,
9,,,,,,,,,,
10,B1_35/15_6,64 -- 78,RC,PF-OV,6*4,1206.1,6030.5,PF7321,,
11,,,,,,,,,,
12,B1_35/15_7,78 -- 91,MC-GD,RD,2.5,1139.6,5698.0,CUT12898,,
13,,,,,,,,B1_17/15_1,,
14,,,,,,,,,,
15,,,,,TOTAL,7813.6,39068.0,,,
0,B1_38/15_1,0 -- 16,RC,PF-MX,18*13,1296.4,6482.0,PF15149,,
1,,,,,,,,B1_20/15_8,,
2,B1_38/15_2,16 -- 30,RC,RG,2~3,1137.2,5686.0,RG6220,,
3,,,,,,,,,,
4,B1_38/15_3,30 -- 43,RC,RG,2~3,1020.2,5101.0,RG6220,,
5,,,,,,,,,,
6,B1_38/15_4,43 -- 55,RC,RG,2~3,1008.8,5044.0,RG6220,,
7,,,,,,,,Ni - 43,,
8,B1_38/15_5,55 -- 68,RC,RG,2~3,1023.2,5116.0,RG6220,,
9,,,,,,,,,,
10,B1_38/15_6,68 -- 81,RC,RG,2~3,1021.8,5109.0,RG6220,,
11,,,,,,,,,,
12,B1_38/15_7,81 -- 96,RC,PF-MQ,10*5,1252.8,6264.0,PF15235,,
13,,,,,,,,B1_20/15_1,,
14,,,,,,,,,,
15,,,,,TOTAL,7760.4,38802.0,,,
0,D1_38/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_38/15_2,18 -- 32,RC,RG,3~5,1038.7,5193.5,RG5824,,
3,,,,,,,,,,
4,D1_38/15_3,32 -- 46,RC,RG,3~5,1009.0,5045.0,RG5824,,
5,,,,,,,,,,
